VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 06:00:26 AM,01/01/2016 06:05:50 AM,N,1,-73.908668518066406,40.661277770996094,-73.918022155761719,40.65667724609375,5,0.99,6,0.5,0.5,0,0,,0.3,7.3,2,1,,
1,01/01/2016 06:06:03 AM,01/01/2016 06:06:03 AM,N,1,-73.922676086425781,40.817241668701172,0,0,2,0,9.5,0,0.5,0,5.54,,0.3,15.84,2,1,,
2,01/01/2016 06:04:24 AM,01/01/2016 06:06:07 AM,N,1,-73.889678955078125,40.869701385498047,-73.894874572753906,40.865425109863281,1,0.39,3.5,0,0.5,0,0,,0.3,4.3,2,1,,
2,01/01/2016 06:01:52 AM,01/01/2016 06:06:08 AM,N,1,-73.954849243164063,40.694686889648438,-73.952850341796875,40.688243865966797,1,0.97,5.5,0,0.5,5,0,,0.3,11.3,1,1,,
2,01/01/2016 06:01:10 AM,01/01/2016 06:06:08 AM,N,1,-73.957778930664063,40.714496612548828,-73.962066650390625,40.7186279296875,1,0.71,5,0.5,0.5,0,0,,0.3,6.3,2,1,,
2,01/01/2016 06:01:02 AM,01/01/2016 06:06:15 AM,N,1,-73.927200317382813,40.755336761474609,-73.912147521972656,40.767356872558594,1,1.2,6.5,0,0.5,0,0,,0.3,7.3,2,1,,
2,01/01/2016 06:03:15 AM,01/01/2016 06:06:16 AM,N,1,-73.930923461914063,40.670921325683594,-73.929763793945313,40.679344177246094,1,0.59,4.5,0,0.5,0,0,,0.3,5.3,2,1,,
2,01/01/2016 06:03:03 AM,01/01/2016 06:06:17 AM,N,1,-73.844329833984375,40.721096038818359,-73.857742309570313,40.722492218017578,1,0.87,5,0,0.5,1.74,0,,0.3,7.54,1,1,,
2,01/01/2016 06:05:25 AM,01/01/2016 06:06:21 AM,N,1,-73.896064758300781,40.754543304443359,-73.896339416503906,40.754470825195312,1,0.02,2.5,0,0.5,6,0,,0.3,9.3,1,1,,
2,01/01/2016 06:00:33 AM,01/01/2016 06:06:23 AM,N,1,-73.950057983398438,40.716945648193359,-73.956275939941406,40.732917785644531,1,1.68,7,0.5,0.5,1.66,0,,0.3,9.96,1,1,,
2,01/01/2016 06:03:46 AM,01/01/2016 06:06:28 AM,N,1,-73.923896789550781,40.761306762695313,-73.931465148925781,40.765144348144531,1,0.46,4,0,0.5,0,0,,0.3,4.8,2,1,,
1,01/01/2016 06:04:26 AM,01/01/2016 06:06:34 AM,N,1,-73.948036193847656,40.824676513671875,-73.946990966796875,40.826595306396484,1,0.2,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,,
2,01/01/2016 06:01:42 AM,01/01/2016 06:06:40 AM,N,1,-73.942802429199219,40.705188751220703,-73.942436218261719,40.716152191162109,1,0.87,5.5,0,0.5,1.26,0,,0.3,7.56,1,1,,
1,01/01/2016 06:02:03 AM,01/01/2016 06:07:00 AM,N,1,-73.939437866210937,40.705135345458984,-73.92315673828125,40.699264526367188,1,1.2,6,0,0.5,0,0,,0.3,6.8,2,1,,
2,01/01/2016 06:05:27 AM,01/01/2016 06:07:07 AM,N,1,-73.943939208984375,40.810268402099609,-73.9366455078125,40.819915771484375,1,0.53,4,0,0.5,0,0,,0.3,4.8,2,1,,
